Image,NumDet,NumGT,TP,FP,FN,Precision,Recall,F1,MsPerImage
image_00000011.jpg,5,0,0,5,0,0,0,0,203.656
image_00000015.jpg,4,0,0,4,0,0,0,0,201.486
image_00000025.jpg,4,0,0,4,0,0,0,0,199.995
image_00000030.jpg,5,0,0,5,0,0,0,0,199.433
image_00000032.jpg,7,0,0,7,0,0,0,0,211.257
image_00000035.jpg,5,0,0,5,0,0,0,0,199.455
image_00000059.jpg,5,0,0,5,0,0,0,0,193.801
image_00000069.jpg,5,0,0,5,0,0,0,0,208.682
image_00000070.jpg,7,0,0,7,0,0,0,0,198.702
image_00000077.jpg,3,0,0,3,0,0,0,0,204.506
image_00000096.jpg,3,0,0,3,0,0,0,0,189.615
image_00000099.jpg,4,0,0,4,0,0,0,0,190.227
image_00000121.jpg,3,0,0,3,0,0,0,0,204.971
image_00000126.jpg,3,0,0,3,0,0,0,0,222.898
image_00000133.jpg,5,0,0,5,0,0,0,0,204.047
image_00000157.jpg,7,0,0,7,0,0,0,0,204.146
image_00000178.jpg,5,0,0,5,0,0,0,0,197.214
image_00000204.jpg,6,0,0,6,0,0,0,0,201.683
image_00000227.jpg,6,0,0,6,0,0,0,0,201.011
image_00000231.jpg,6,0,0,6,0,0,0,0,201.582
image_00000242.jpg,7,0,0,7,0,0,0,0,212.555
image_00000244.jpg,4,0,0,4,0,0,0,0,220.279
image_00000256.jpg,5,0,0,5,0,0,0,0,194.283
image_00000266.jpg,7,0,0,7,0,0,0,0,201.921
image_00000269.jpg,6,0,0,6,0,0,0,0,213.766
image_00000280.jpg,7,0,0,7,0,0,0,0,231.183
image_00000288.jpg,8,0,0,8,0,0,0,0,208.809
image_00000290.jpg,9,0,0,9,0,0,0,0,198.374
image_00000299.jpg,10,0,0,10,0,0,0,0,197.229
image_00000308.jpg,4,0,0,4,0,0,0,0,190.057
image_00000336.jpg,6,0,0,6,0,0,0,0,190.125
image_00000340.jpg,9,0,0,9,0,0,0,0,192.202
image_00000349.jpg,4,0,0,4,0,0,0,0,192.132
image_00000354.jpg,7,0,0,7,0,0,0,0,189.08
image_00000366.jpg,6,0,0,6,0,0,0,0,191.219
image_00000383.jpg,5,0,0,5,0,0,0,0,198.168
image_00000399.jpg,7,0,0,7,0,0,0,0,200.872
image_00000410.jpg,6,0,0,6,0,0,0,0,195.76
image_00000414.jpg,4,0,0,4,0,0,0,0,200.689
image_00000417.jpg,3,0,0,3,0,0,0,0,195.459
image_00000420.jpg,6,0,0,6,0,0,0,0,211.566
image_00000421.jpg,7,0,0,7,0,0,0,0,192.647
image_00000429.jpg,3,0,0,3,0,0,0,0,198.487
image_00000434.jpg,4,0,0,4,0,0,0,0,201.574
image_00000438.jpg,4,0,0,4,0,0,0,0,187.269
image_00000457.jpg,4,0,0,4,0,0,0,0,198.326
image_00000458.jpg,5,0,0,5,0,0,0,0,199.461
image_00000468.jpg,5,0,0,5,0,0,0,0,191.057
image_00000475.jpg,5,0,0,5,0,0,0,0,196.856
image_00000477.jpg,6,0,0,6,0,0,0,0,196.215
image_00000491.jpg,8,0,0,8,0,0,0,0,198.476
image_00000507.jpg,5,0,0,5,0,0,0,0,193.11
image_00000543.jpg,8,0,0,8,0,0,0,0,199.989
image_00000545.jpg,7,0,0,7,0,0,0,0,189.711
image_00000555.jpg,7,0,0,7,0,0,0,0,190.797
image_00000560.jpg,6,0,0,6,0,0,0,0,205.466
image_00000568.jpg,6,0,0,6,0,0,0,0,202.989
image_00000585.jpg,7,0,0,7,0,0,0,0,199.575
image_00000588.jpg,6,0,0,6,0,0,0,0,189.67
image_00000593.jpg,3,0,0,3,0,0,0,0,200.102
image_00000598.jpg,6,0,0,6,0,0,0,0,199.196
image_00000603.jpg,5,0,0,5,0,0,0,0,207.12
image_00000609.jpg,11,0,0,11,0,0,0,0,196.228
image_00000646.jpg,7,0,0,7,0,0,0,0,189.805
image_00000648.jpg,6,0,0,6,0,0,0,0,197.522
image_00000652.jpg,2,0,0,2,0,0,0,0,192.727
image_00000653.jpg,6,0,0,6,0,0,0,0,189.556
image_00000671.jpg,4,0,0,4,0,0,0,0,195.85
image_00000679.jpg,5,0,0,5,0,0,0,0,190.79
image_00000706.jpg,5,0,0,5,0,0,0,0,207.009
image_00000723.jpg,7,0,0,7,0,0,0,0,198.76
image_00000739.jpg,5,0,0,5,0,0,0,0,201.253
image_00000740.jpg,5,0,0,5,0,0,0,0,204.079
image_00000743.jpg,6,0,0,6,0,0,0,0,186.491
image_00000748.jpg,4,0,0,4,0,0,0,0,192.693
image_00000758.jpg,6,0,0,6,0,0,0,0,198.801
image_00000778.jpg,3,0,0,3,0,0,0,0,201.666
image_00000786.jpg,4,0,0,4,0,0,0,0,192.872
image_00000789.jpg,5,0,0,5,0,0,0,0,195.204
image_00000806.jpg,4,0,0,4,0,0,0,0,200.367
image_00000826.jpg,5,0,0,5,0,0,0,0,198.453
image_00000827.jpg,4,0,0,4,0,0,0,0,192.55
image_00000833.jpg,3,0,0,3,0,0,0,0,199.057
image_00000835.jpg,2,0,0,2,0,0,0,0,197.154
image_00000846.jpg,6,0,0,6,0,0,0,0,192.442
image_00000857.jpg,4,0,0,4,0,0,0,0,197.585
image_00000859.jpg,5,0,0,5,0,0,0,0,203.531
image_00000870.jpg,5,0,0,5,0,0,0,0,189.414
image_00000877.jpg,7,0,0,7,0,0,0,0,196.98
image_00000886.jpg,2,0,0,2,0,0,0,0,202.832
image_00000899.jpg,5,0,0,5,0,0,0,0,194.449
image_00000911.jpg,6,0,0,6,0,0,0,0,193.388
image_00000934.jpg,6,0,0,6,0,0,0,0,196.214
image_00000943.jpg,4,0,0,4,0,0,0,0,208.512
image_00000948.jpg,6,0,0,6,0,0,0,0,197.223
image_00000957.jpg,2,0,0,2,0,0,0,0,198.337
image_00000968.jpg,3,0,0,3,0,0,0,0,205.245
image_00000975.jpg,5,0,0,5,0,0,0,0,198.588
image_00000985.jpg,2,0,0,2,0,0,0,0,193.294
image_00000991.jpg,5,0,0,5,0,0,0,0,195.518
